Serial No.,Stocks allowed for MIS,Margin allowed,,Serial No.,Stocks not allowed for MIS,,Serial No.,Stocks which were allowed but temporarily banned,Reason
445,TORNTPOWER:EQ,12.5X,,446,JINDALPHOT,,,,
446,TRENT:EQ,3X,,447,JINDALPOLY,,,,
447,TRIDENT:EQ,3X,,448,JINDCOT,,,,
448,TRIGYN:EQ,3X,,449,JINDRILL,,,,
449,TRIVENI:EQ,3X,,450,JISLDVREQS,,,,
450,TTKPRESTIG:EQ,3X,,451,JK AGRI,,,,
451,TV18BRDCST:EQ,11X,,452,JKIL,,,,
452,TVSMOTOR:EQ,12.5X,,453,JMA,,,,
453,TWL:EQ,3X,,454,JMTAUTOLTD,,,,
454,UBL:EQ,12.5X,,455,JPASSOCIATE,,,,
455,UCOBANK:EQ,3X,,456,JPINFRATEC,,,,
456,UJJIVAN:EQ,9X,,457,JPOLYINVST,,,,
457,ULTRACEMCO:EQ,12.5X,,458,JPPOWER,,,,
458,UNIONBANK:EQ,11X,,459,JSL,,,,
459,UNIVCABLES:EQ,3X,,460,JUBLINDS,,,,
460,UPL:EQ,12.5X,,461,JVLAGRO,,,,
461,USHAMART:EQ,3X,,462,JYOTIRES,,,,
462,VEDL:EQ,5X,,463,JYOTISTRUC,,,,
463,VGUARD:EQ,12.5X,,464,KABRAEXTRU,,,,
464,VIJAYABANK:EQ,3X,,465,KAKATCEM,,,,
465,VIPCLOTHNG:EQ,3X,,466,KALINDEE,,,,
466,VIPIND:EQ,3X,,467,KAMADHENU,,,,
467,VOLTAS:EQ,12.5X,,468,KAMATHOTEL,,,,
468,VTL:EQ,3X,,469,KANANIIND,,,,
469,WABCOINDIA:EQ,3X,,470,KANORICHEM,,,,
470,WALCHANNAG:EQ,3X,,471,KANPRPLA,,,,
471,WELCORP:EQ,3X,,472,KARMAENG,,,,
472,WELENT:EQ,3X,,473,KARNAVATI,,,,
473,WELSPUNIND:EQ,3X,,474,KATWAUD,,,,
474,WHIRLPOOL:EQ,3X,,475,KAUSHALYA,,,,
475,WINDMACHIN:EQ,3X,,476,KAVVERITEL,,,,
476,WIPRO:EQ,12.5X,,477,KCLINFRA,,,,
477,WOCKPHARMA:EQ,12.5X,,478,KCPSUGIND,,,,
478,WONDERLA:EQ,3X,,479,KDDL,,,,
479,YESBANK:EQ,5X,,480,KECL,,,,
480,ZEEL:EQ,5X,,481,KELLTONTEC,,,,
,,,,482,KEMROCK,,,,
,,,,483,KERALAYUR,,,,
,,,,484,KESARENT,,,,
,,,,485,KESORAMIND,,,,
,,,,486,KEYCORPSER,,,,
,,,,487,KGL,,,,
,,,,488,KHADIM,,,,
,,,,489,KHAICHEM,,,,
,,,,490,KHAITANELE,,,,
,,,,491,KHAITANLTD,,,,
,,,,492,KHANDSE,,,,
,,,,493,KILPEST,,,,
,,,,494,KINETICENG,,,,
,,,,495,KINGFA,,,,
,,,,496,KIOCL,,,,
,,,,497,KIRLOSENG,,,,
,,,,498,KIRLOSIND,,,,
,,,,499,KITEX,,,,
,,,,500,KMSUGAR,,,,
,,,,501,KOHINOOR,,,,
,,,,502,KOKUYOCMLN,,,,
,,,,503,KOLTEPATIL,,,,
,,,,504,KOTARISUG,,,,
,,,,505,KOTHARIPET,,,,
,,,,506,KOTHARIPRO,,,,
,,,,507,KRIDHANINF,,,,
,,,,508,KSERASERA,,,,
,,,,509,KSK,,,,
,,,,510,KTIL,,,,
,,,,511,KUSHAL,,,,
,,,,512,KWALITY,,,,
,,,,513,LAKPRE,,,,
,,,,514,LAKSHMIEFL,,,,
,,,,515,LAMBODHARA,,,,
,,,,516,LANCER,,,,
,,,,517,LASA,,,,
,,,,518,LCCINFOTEC,,,,
,,,,519,LEEL,,,,
,,,,520,LGBBROSLTD,,,,
,,,,521,LICNETFN50,,,,
,,,,522,LINCPEN-EQ,,,,
,,,,523,LINDEINDIA,,,,
,,,,524,LITL,,,,
,,,,525,LML,,,,
,,,,526,LOKESHMACH,,,,
,,,,527,LOTUSEYE,,,,
,,,,528,LPDC,,,,
,,,,529,LUDLOWJUT,,,,
,,,,530,LUMAXAUTO,,,,
,,,,531,LUMAZAUTO,,,,
,,,,532,LUXIND,,,,
,,,,533,LYCOS,,,,
,,,,534,LYKALABS,,,,
,,,,535,LYPSAGEMS,,,,
,,,,536,MAANALU,,,,
,,,,537,MACINTR,,,,
,,,,538,MADHAV,,,,
,,,,539,MADHUCON,,,,
,,,,540,MADRASFERT,,,,
,,,,541,MAGADSUGAR,,,,
,,,,542,MAGNAELQ,,,,
,,,,543,MAGNUM,,,,
,,,,544,MAHABANK,,,,
,,,,545,MAHASTEEL,,,,
,,,,546,MAINFRA,,,,
,,,,547,MAITHANALL,,,,
,,,,548,MAJESAUT,,,,
,,,,549,MALUPAPER,,,,
,,,,550,MANAKALUCO,,,,
,,,,551,MANAKCOAT,,,,
,,,,552,MANAKINDST,,,,
,,,,553,MANAKSTELTD,,,,
,,,,554,MANDHANA,,,,
,,,,555,MANGAKAM,,,,
,,,,556,MANGALAM,,,,
,,,,557,MANGIND,,,,
,,,,558,MANORG,,,,
,,,,559,MANUGRAPH,,,,
,,,,560,MARALOVER,,,,
,,,,561,MARATHON,,,,
,,,,562,MARKSONS,,,,
,,,,563,MATRIMONY:EQ,,,,
,,,,564,MAWANASUG,,,,
,,,,565,MAXINDIA,,,,
,,,,566,MAZDA,,,,
,,,,567,MBECL,,,,
,,,,568,MBLINFRA,,,,
,,,,569,MCDHOLDING,,,,
,,,,570,MEGASOFT,,,,
,,,,571,MENONBE,,,,
,,,,572,MERCATOR,,,,
,,,,573,MERCK,,,,
,,,,574,METALFORGE,,,,
,,,,575,MIC,,,,
,,,,576,MINDTECK,,,,
,,,,577,MIRCELECTR,,,,
,,,,578,MISHKA,,,,
,,,,579,MLKFOOD,,,,
,,,,580,MNKALCOLTD,,,,
,,,,581,MODERN,,,,
,,,,582,MODIRUBBER,,,,
,,,,583,MOHITIND,,,,
,,,,584,MOHOTAIND,,,,
,,,,585,MOLDTECH,,,,
,,,,586,MONNETISPA,,,,
,,,,587,MONOT,,,,
,,,,588,MORARJEE,,,,
,,,,589,MOSCHIP,,,,
,,,,590,MOSERBAER,,,,
,,,,591,MOTOGENFIN,,,,
,,,,592,MRO-TEK,,,,
,,,,593,MSPL,,,,
,,,,594,MTEDUCARE,,,,
,,,,595,MTNL,,,,
,,,,596,MUKANDENGG,,,,
,,,,597,MUKTAARTS,,,,
,,,,598,MUL,,,,
,,,,599,MURUDCERA,,,,
,,,,600,MUTHOOTCAP,,,,
,,,,601,MUTHTFN,,,,
,,,,602,MVL,,,,
,,,,603,MYSOREBANK,,,,
,,,,604,N100,,,,
,,,,605,NACLIND,,,,
,,,,606,NAGAFERT,,,,
,,,,607,NAGREEKCAP,,,,
,,,,608,NAGREEKEXP,,,,
,,,,609,NAHARCAP,,,,
,,,,610,NAHARINDUS,,,,
,,,,611,NAHARPOLY,,,,
,,,,612,NAHARSPING,,,,
,,,,613,NAKODA,,,,
,,,,614,NATHBIOGEN,,,,
,,,,615,NATNLSTEEL,,,,
,,,,616,NATPLAS,,,,
,,,,617,NBIFIN,,,,
,,,,618,NDTV,,,,
,,,,619,NELCAST,,,,
,,,,620,NELCO,,,,
,,,,621,NEOCORP,,,,
,,,,622,NEULANDLAB,,,,
,,,,623,NEXTMEDIA,,,,
,,,,624,NFIL,,,,
,,,,625,NIBL,,,,
,,,,626,NIITLTD,,,,
,,,,627,NILASPACES,,,,
,,,,628,NILE,,,,
,,,,629,NILKAMAL,,,,
,,,,630,NIPPOBATRY,,,,
,,,,631,NIRVIKARA,,,,
,,,,632,NITCO,,,,
,,,,633,NITESHEST,,,,
,,,,634,NITINFIRE,,,,
,,,,635,NKIND,,,,
,,,,636,NOBLEXP,,,,
,,,,637,NOIDA-TOLL,,,,
,,,,638,NRAIL,,,,
,,,,639,NTCIND,,,,
,,,,640,NTL,,,,
,,,,641,NUTRA,,,,
,,,,642,OASIS,,,,
,,,,643,OBIL,,,,
,,,,644,OILCOUNTUB,,,,
,,,,645,OISL,,,,
,,,,646,OKPLA,,,,
,,,,647,OMAXAUTO,,,,
,,,,648,OMKARCHEM,,,,
,,,,649,ONELIFECAP,,,,
,,,,650,ONMOBILE,,,,
,,,,651,ONWARDTEC,,,,
,,,,652,OPTIEMUS,,,,
,,,,653,OPTOCIRCUI,,,,
,,,,654,ORBITCORP,,,,
,,,,655,ORBTEXP,,,,
,,,,656,ORCHIDPHAR,,,,
,,,,657,ORICONENT,,,,
,,,,658,ORIENTABRA,,,,
,,,,659,ORIENTALTL,,,,
,,,,660,ORIENTBELL,,,,
,,,,661,ORIENTHOT,,,,
,,,,662,ORIENTLTD,,,,
,,,,663,ORISSAMINE,,,,
,,,,664,ORTEL,,,,
,,,,665,ORTINLAB,,,,
,,,,666,OUDHSUG,,,,
,,,,667,PALREDTEC,,,,
,,,,668,PANACEABIO,,,,
,,,,669,PANAENERG,,,,
,,,,670,PANAFIC,,,,
,,,,671,PANCHSHEEL,,,,
,,,,672,PANORAMUNI,,,,
,,,,673,PARABDRUGS,,,,
,,,,674,PARACABLES,,,,
,,,,675,PARENTLD,,,,
,,,,676,PARRYSUGAR,,,,
,,,,677,PARSVNATH,,,,
,,,,678,PATSPINLTD,,,,
,,,,679,PBAINFRA,,,,
,,,,680,PDUMJEIND,,,,
,,,,681,PDUMJEPULP,,,,
,,,,682,PEARLPOLY,,,,
,,,,683,PETRONENGG,,,,
,,,,684,PFOCUS,,,,
,,,,685,PGEL,,,,
,,,,686,PINCON,,,,
,,,,687,PINCONLIFE,,,,
,,,,688,PIONDIST,,,,
,,,,689,PIONEEREMB,,,,
,,,,690,PIRPHYTO,,,,
,,,,691,PITTILAM,,,,
,,,,692,PKTEA,,,,
,,,,693,PLASTIBLEN,,,,
,,,,694,PMCFIN,,,,
,,,,695,POCHIRAJU,,,,
,,,,696,POKARNA,,,,
,,,,697,POLARIS,,,,
,,,,698,POLYMED,,,,
,,,,699,PONNIERODE,,,,
,,,,700,POWERMECH,,,,
,,,,701,PRABHAT,,,,
,,,,702,PRADIP,,,,
,,,,703,PRAENG,,,,
,,,,704,PRAKASH,,,,
,,,,705,PRAKASHCON,,,,
,,,,706,PRAKASHSTL,,,,
,,,,707,PRATIBHA,,,,
,,,,708,PRAXIS,,,,
,,,,709,PRECOT,,,,
,,,,710,PRECWIRE,,,,
,,,,711,PREMIER,,,,
,,,,712,PREMIERPOL,,,,
,,,,713,PRIMESECU,,,,
,,,,714,PROVOGE,,,,
,,,,715,PROZONINTU DECOMIC,,,,
,,,,716,PSL,,,,
,,,,717,PUNJABCHEM,,,,
,,,,718,PUNJLLOYD,,,,
,,,,719,PVP,,,,
,,,,720,QUANTBUILD,,,,
,,,,721,RADHEDE,,,,
,,,,722,RAIN,,,,
,,,,723,RAINBOWPAP,,,,
,,,,724,RAIREKMOH,,,,
,,,,725,RAJGLOWIR,,,,
,,,,726,RAJOIL,,,,
,,,,727,RAJRAYON,,,,
,,,,728,RAJSREESUG,,,,
,,,,729,RAJTV,,,,
,,,,730,RAMANEWS,,,,
,,,,731,RAMAPHO,,,,
,,,,732,RAMASTEEL,,,,
,,,,733,RAMCOSYS,,,,
,,,,734,RANASUG,,,,
,,,,735,RANEENGINE,,,,
,,,,736,RASANDIK,,,,
,,,,737,RBL,,,,
,,,,738,RCOM,,,,
,,,,739,REIAGROLTD,,,,
,,,,740,RELIGARE,,,,
,,,,741,REMSONSIND,,,,
,,,,742,RENUKA,,,,
,,,,743,REPRO,,,,
,,,,744,REVATHI,,,,
,,,,745,RISHIROOP,,,,
,,,,746,RJL,,,,
,,,,747,RKDL,,,,
,,,,748,RML,,,,
,,,,749,RNAM,,,,
,,,,750,RNAVAL,,,,
,,,,751,ROHLTD,,,,
,,,,752,ROLLT,,,,
,,,,753,ROLTA,,,,
,,,,754,ROSSELLIND,,,,
,,,,755,ROTO,,,,
,,,,756,RPGLIFE,,,,
,,,,757,RPPINFRA,,,,
,,,,758,RSSOFTWARE,,,,
,,,,759,RSYSTEMS,,,,
,,,,760,RTNINFRA,,,,
,,,,761,RTNPOWER,,,,
,,,,762,RUBYMILL,,,,
,,,,763,RUBYMILLS,,,,
,,,,764,RUCHISOYA,,,,
,,,,765,RUSHIL,,,,
,,,,766,SABEVENTS,,,,
,,,,767,SABTN,,,,
,,,,768,SADHNANIQ,,,,
,,,,769,SAFARIND,,,,
,,,,770,SAGARSOFT,,,,
,,,,771,SAGCEM,,,,
,,,,772,SAHARA,,,,
,,,,773,SAIBABA,,,,
,,,,774,SAKHTISUG,,,,
,,,,775,SAKSOFT,,,,
,,,,776,SAKTHIFIN,,,,
,,,,777,SALONA,,,,
,,,,778,SALORAINTL,,,,
,,,,779,SALSTEEL,,,,
,,,,780,SALZER,,,,
,,,,781,SAMBHAAV,,,,
,,,,782,SAMPRE,,,,
,,,,783,SAMRATPH,,,,
,,,,784,SAMTEL,,,,
,,,,785,SANDESH,,,,
,,,,786,SANGHVIFOR,,,,
,,,,787,SANGUI,,,,
,,,,788,SANKHYAIN,,,,
,,,,789,SANWARIA,,,,
,,,,790,SARDAPLY,,,,
,,,,791,SASKEN,,,,
,,,,792,SATHAISPAT,,,,
,,,,793,SATIN,,,,
,,,,794,SBTL,,,,
,,,,795,SCANPGEOM,,,,
,,,,796,SCAPDVR,,,,
,,,,797,SDBL,,,,
,,,,798,SEASONST,,,,
,,,,799,SEATV,,,,
,,,,800,SEINV,,,,
,,,,801,SELMCL,,,,
,,,,802,SEPOWER,,,,
,,,,803,SERVALL,,,,
,,,,804,SESHAPAPER,,,,
,,,,805,SEYAIND,,,,
,,,,806,SHAHALLOYS,,,,
,,,,807,SHANKARA,,,,
,,,,808,SHARDACROP,,,,
,,,,809,SHARONBIO,,,,
,,,,810,SHARP,,,,
,,,,811,SHBCLQ,,,,
,,,,812,SHEMAROO,,,,
,,,,813,SHERVANI,,,,
,,,,814,SHIVACEM,,,,
,,,,815,SHIVAMILLS,,,,
,,,,816,SHIVTEX,,,,
,,,,817,SHOPERSTOP,,,,
,,,,818,SHREDIGCEM,,,,
,,,,819,SHREEPUSHK,,,,
,,,,820,SHREERAMA,,,,
,,,,821,SHRENUJ,,,,
,,,,822,SHREYANIND,,,,
,,,,823,SHREYAS,,,,
,,,,824,SHRIDINE,,,,
,,,,825,SHRISTI,,,,
,,,,826,SHYAMCENT,,,,
,,,,827,SHYAMTEL,,,,
,,,,828,SICAGEN,,,,
,,,,829,SICAL,,,,
,,,,830,SIGNET,,,,
,,,,831,SILINV,,,,
,,,,832,SIMBHALS,,,,
,,,,833,SIMPLEX,,,,
,,,,834,SINTEXPLAST,,,,
,,,,835,SITASHREE,,,,
,,,,836,SKIL,,,,
,,,,837,SKMEGGPROD,,,,
,,,,838,SKP,,,,
,,,,839,SKYIND,,,,
,,,,840,SMARTLINK,,,,
,,,,841,SMFIL,,,,
,,,,842,SMLISUZU,,,,
,,,,843,SMLISUZU,,,,
,,,,844,SMPL,,,,
,,,,845,SMSLIFE,,,,
,,,,846,SMSPHARMA,,,,
,,,,847,SNTCL,,,,
,,,,848,SOLARA,,,,
,,,,849,SOLISMAR,,,,
,,,,850,SOMATEX,,,,
,,,,851,SOMICONVEY,,,,
,,,,852,SORILHOLD,,,,
,,,,853,SORILINFRA,,,,
,,,,854,SPCENET,,,,
,,,,855,SPECIALITY,,,,
,,,,856,SPENTEX,,,,
,,,,857,SPHEREGSL,,,,
,,,,858,SPICEJET,,,,
,,,,859,SPICEMOBI,,,,
,,,,860,SPLIL,,,,
,,,,861,SPMLINFRA,,,,
,,,,862,SPYL,,,,
,,,,863,SREEL,,,,
,,,,864,SRHHYPOLTD,,,,
,,,,865,SRSLTD,,,,
,,,,866,STAMPEDE,,,,
,,,,867,STARLIT,,,,
,,,,868,STARLOG,,,,
,,,,869,STARPAPER,,,,
,,,,870,STEELXIND,,,,
,,,,871,STEERINTER,,,,
,,,,872,STEL,,,,
,,,,873,STERLINBIO,,,,
,,,,874,STERTOOLS,,,,
,,,,875,STINDIA,,,,
,,,,876,STOREONE,,,,
,,,,877,SUBEX,,,,
,,,,878,SUBROS,,,,
,,,,879,SUCROSA,,,,
,,,,880,SUDAR,,,,
,,,,881,SUDARSCHEM,,,,
,,,,882,SUDTIND-B,,,,
,,,,883,SUJANATWR,,,,
,,,,884,SUJANAUNI,,,,
,,,,885,SUMEETINDS,,,,
,,,,886,SUNDARAM,,,,
,,,,887,SUNDRMBRAK,,,,
,,,,888,SUNILHITEC,,,,
,,,,889,SUPPETRO,,,,
,,,,890,SUPREMEINF,,,,
,,,,891,SUPREMETEX,,,,
,,,,892,SURANAIND,,,,
,,,,893,SURANASOL,,,,
,,,,894,SURATEX,,,,
,,,,895,SURYACHAKRA,,,,
,,,,896,SWANENERGY,,,,
,,,,897,SYNCOM,,,,
,,,,898,SYNCOMF,,,,
,,,,899,TAALENT,,,,
,,,,900,TAINWALCHM,,,,
,,,,901,TALBROAUTO,,,,
,,,,902,TANAA,,,,
,,,,903,TANTIACONS,,,,
,,,,904,TARAJEWELS,,,,
,,,,905,TARAPUR,,,,
,,,,906,TARMAT,,,,
,,,,907,TASTYBITE,,,,
,,,,908,TATAMETALI,,,,
,,,,909,TATASTEEL-E1,,,,
,,,,910,TATASTEELPP,,,,
,,,,911,TATASTLBSL,,,,
,,,,912,TATAYODOGA,,,,
,,,,913,TCIDEVELOP,,,,
,,,,914,TCIEXP,,,,
,,,,915,TCIFINANCE,,,,
,,,,916,TCPLPACK,,,,
,,,,917,TECHNOFAB,,,,
,,,,918,TERASOFT,,,,
,,,,919,TEXINFRA,,,,
,,,,920,TFL,,,,
,,,,921,TGBHOTELS,,,,
,,,,922,THANGAMAYL,,,,
,,,,923,THEMISMED,,,,
,,,,924,THIRUSUGAR,,,,
,,,,925,TI,,,,
,,,,926,TIJARIA,,,,
,,,,927,TIL,,,,
,,,,928,TIMESGTY,,,,
,,,,929,TIPSINDLTD,,,,
,,,,930,TIRUMALCHM,,,,
,,,,931,TPLPLAST,,,,
,,,,932,TREEHOUSE,,,,
,,,,933,TRF,,,,
,,,,934,TRICOM,,,,
,,,,935,TRILOGIC,,,,
,,,,936,TTIL,,,,
,,,,937,TTKHLTCARE,,,,
,,,,938,TTL,,,,
,,,,939,TTML,,,,
,,,,940,TULSI,,,,
,,,,941,TVSELECT,,,,
,,,,942,TVVISION,,,,
,,,,943,UBHOLDINGS,,,,
,,,,944,UCALFUEL,,,,
,,,,945,UGARSUGAR,,,,
,,,,946,UJAAS,,,,
,,,,947,ULTRACAB,,,,
,,,,948,UNIENTER,,,,
,,,,949,UNIPHOS,,,,
,,,,950,UNITECH,,,,
,,,,951,UNITEDTEA,,,,
,,,,952,UNITINT,,,,
,,,,953,UNITY,,,,
,,,,954,UPERGANGES,,,,
,,,,955,URJA,,,,
,,,,956,URJAGLOBA,,,,
,,,,957,USHERAGRO,,,,
,,,,958,UTTAMSTL,,,,
,,,,959,UTTAMSUGAR,,,,
,,,,960,UTTAMVALUE,,,,
,,,,961,UVBOARDS,,,,
,,,,962,UVSL,,,,
,,,,963,V2RETAIL,,,,
,,,,964,VADILALIND,,,,
,,,,965,VAIBHAVGBL,,,,
,,,,966,VALECHAENG,,,,
,,,,967,VALUEIND,,,,
,,,,968,VARDMNPOLY,,,,
,,,,969,VASWANI,,,,
,,,,970,VEDAVAAG,,,,
,,,,971,VEERENERGY,,,,
,,,,972,VENKEYS,,,,
,,,,973,VENTURA,,,,
,,,,974,VENUSREM,,,,
,,,,975,VERTEX,,,,
,,,,976,VESUVIUS,,,,
,,,,977,VETO,,,,
,,,,978,VHL,,,,
,,,,979,VIAANINDUS,,,,
,,,,980,VICEROY,,,,
,,,,981,VIDHIING,,,,
,,,,982,VIJAYTX,,,,
,,,,983,VIJIFIN,,,,
,,,,984,VIJSHAN,,,,
,,,,985,VIKASECO,,,,
,,,,986,VIKASGLOB,,,,
,,,,987,VIKASWSP,,,,
,,,,988,VIMTALABS,,,,
,,,,989,VINATIORGA,,,,
,,,,990,VINDHYATEL,,,,
,,,,991,VIPULLTD,,,,
,,,,992,VISASTEEL,,,,
,,,,993,VISESHINFO,,,,
,,,,994,VISTAPH,,,,
,,,,995,VIVIDHA,,,,
,,,,996,VIVIMEDLAB:EQ,,,,
,,,,997,VKJINFRA,,,,
,,,,998,VLSFINANCE,,,,
,,,,999,VMART,,,,
,,,,1000,VSSL,,,,
,,,,1001,WATERBASE,,,,
,,,,1002,WEBELSOLAR,,,,
,,,,1003,WEIZFOREX,,,,
,,,,1004,WEIZMANIND,,,,
,,,,1005,WELINV,,,,
,,,,1006,WELSYNTEX,,,,
,,,,1007,WENDT,,,,
,,,,1008,WHEELS,,,,
,,,,1009,WILLAMAGOR,,,,
,,,,1010,WPIL,,,,
,,,,1011,WSI,,,,
,,,,1012,XCHANGING,,,,
,,,,1013,XPROINDIA,,,,
,,,,1014,YASHPPR,,,,
,,,,1015,YOGISUNG,,,,
,,,,1016,YUVRAAJHPL,,,,
,,,,1017,ZANDUREALT,,,,
,,,,1018,ZEEMEDIA,,,,
,,,,1019,ZEEMEDIA:EQ,,,,
,,,,1020,ZENITHBIR,,,,
,,,,1021,ZENTEC,,,,
,,,,1022,ZICOM,,,,
,,,,1023,ZODIACLOTH,,,,
,,,,1024,ZODJRDMKJ,,,,
,,,,1025,ZUARI,,,,
,,,,1026,ZUARIGLOB,,,,
,,,,1027,ZYDEN,,,,
,,,,1028,ZYLOG,,,,
,,,,1029,TANLA,,,,
,,,,1030,63MOONS,,,,
,,,,1031,MCLEODRUSS,,,,
,,,,1032,EVEREADY,,,,
,,,,1033,UNIPLY,,,,
